printer_id,cartridges
400000026262,"400000021985,400000013493,400000021984"
400000027216,"400000027203,400000027202,400000030159,400000029970"
400000028953,"400000028961,400000030198"
400000031314,400000024842
400000029772,"400000023506,400000030269,400000030323,400000029773"
400000026668,"400000026664,400000012655,200000000420"
400000027267,"400000017384,400000018695,400000030307"
400000028094,"400000024237,400000030303"
400000026170,"400000030423,400000026173"
400000029540,"400000021218,400000022457,400000022456,400000024440,400000029787"
400000032367,"400000032353,400000029625"
400000028955,"400000028961,400000030198"
400000027246,"400000020452,400000022692,400000022693,400000030588,400000022694"
400000028884,"400000030202,400000026131,400000015221"
400000024404,"400000026326,400000030263"
400000028802,"400000028813,400000030324"
400000028867,"400000014788,400000030446"
400000026907,"400000030456,400000020350,400000030457"
400000027934,"400000030579,400000015968,400000016596,400000016081,400000016957,400000016080"
400000032360,"400000030955,400000032352,400000031444,400000031439,400000032977,400000031570,400000032347,400000032974,400000031440,400000031572,400000031443,400000032350,400000032351,400000032349,400000030956,400000031935,400000032348,400000032346,400000032976,400000032345,400000031571,400000031569,400000032975,400000030953,400000031441,400000031437,400000030954,400000031438,400000031442"
400000033662,
400000033131,"400000031938,400000032575,400000031939,400000031936,400000031937,400000032555"
400000033529,
400000028805,"400000028813,400000030324"
400000030120,"400000030117,400000030321,400000030320,400000030322,400000030318,400000030319"
400000028995,"400000027203,400000027202,400000029970"
400000028931,"400000029972,400000028905"
400000030988,400000005764
400000031077,
400000033433,
400000032424,"400000030965,400000031596"
400000028864,"400000020147,400000029753,400000030474"
400000033434,
400000026794,"400000026793,400000030531"
400000029777,400000029778
400000033489,
400000033808,"400000032446,400000032445,400000032444,400000032443"
400000027268,"400000017384,400000018695,400000030307"
400000028645,"400000028646,400000028649,400000028648,400000028647,400000030582"
400000028669,"400000028665,400000028666,400000030576,400000028667,400000028668"
400000026480,"400000030513,400000013234,400000011518,400000013499,400000012388"
400000030720,"400000033179,400000033177,400000032909,400000033178,400000033051"
400000030997,"400000032967,400000030959,400000031926,400000031927,400000030960,400000032968,400000031599,400000031600,400000031597,400000031924,400000030958,400000032970,400000030957,400000031925,400000031598,400000032969"
400000026735,"400000030439,400000026734"
400000028849,"400000028876,400000030523"
400000028821,"400000030391,400000028818"
400000033499,
400000029737,400000029744
400000029478,"400000013521,400000020132"
400000028885,"400000030202,400000026131,400000015221"
400000029516,"400000029518,400000030605,400000029521,400000029519,400000029520"
400000026896,"400000030530,400000019459"
400000026557,"400000023823,400000022449,400000030385,400000030386"
400000032657,
400000026904,"400000030456,400000020350,400000030457"
400000033527,
400000033263,
400000026946,"400000026927,400000030485"
400000028964,"400000028961,400000030198"
400000026377,"400000006722,400000019407"
400000029802,400000030593
400000027903,"400000015968,400000016596,400000030566,400000016081,400000016957,400000016080"
400000028175,"400000030326,400000025991"
400000033531,
400000028463,"400000026405,400000030509"
400000028763,"400000028660,400000028659,400000030585,400000028661,400000028662"
400000028888,"400000015579,400000023401,400000026129,400000030518,400000026130,400000013848"
400000026538,"400000018130,400000015428,400000030331"
400000026423,"400000026427,400000030517"
400000032413,
400000032468,"400000031828,400000031827,400000031829,400000031826"
400000026329,"400000009942,400000020385,200000001990,400000002721,400000029971,400000008839"
400000033749,400000033642
400000026551,"400000023293,400000026131,400000030354,400000015223,400000030202"
400000032667,
400000028800,"400000028813,400000030324"
400000028024,"400000030594,400000023859,400000023862,400000023861,400000023860"
400000033811,"400000032446,400000032445,400000032444,400000032443"
400000026877,"400000030452,400000013496,400000030453"
400000030977,
400000015102,"400000015223,400000030202,400000026131,400000023293"
400000033485,
400000032423,"400000032292,400000032294,400000032293,400000031351,400000032291,400000031353,400000031354,400000031352"
400000026834,"400000030444,400000030445,400000015226"
400000031009,"400000033051,400000032909"
400000033502,
400000032361,"400000030955,400000032352,400000031444,400000031439,400000032977,400000031570,400000032347,400000032974,400000031440,400000031572,400000031443,400000032350,400000032351,400000032349,400000030956,400000031935,400000032348,400000032346,400000032976,400000032345,400000031571,400000031569,400000032975,400000030953,400000031441,400000031437,400000030954,400000031438,400000031442"
400000033301,
400000029002,"400000027203,400000027202,400000029970"
400000029488,"400000029494,400000029495,400000029493,400000029492"
400000033479,
400000026583,"400000030211,400000026587"
400000031017,
400000029767,"400000023506,400000030269,400000030323,400000029773"
400000033447,
400000026774,"400000030540,400000013507"
400000026395,"400000026427,400000030382"
400000033813,
400000026953,"400000014788,400000030275,400000030446"
400000028978,"400000027203,400000027202,400000030159,400000029970"
400000029500,400000030511
400000026286,"400000030412,400000026284,400000024088,400000024269,400000024360"
400000027181,"400000030590,400000027175,400000027174,400000027176,400000027172"
400000026468,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000033669,
400000026226,"400000019121,400000019122,400000016955,400000030520"
400000028733,"400000020487,400000018143,400000018145,400000032753,400000032754,400000030570,400000032755,400000018144,400000032752"
400000033517,
400000026271,"400000030522,400000026272"
400000028712,"400000028709,400000028711,400000028708,400000030567,400000028710"
400000033525,
400000028069,"400000024237,400000030506,400000030303"
400000027266,"400000017384,400000018695,400000030307"
400000028766,"400000028660,400000028659,400000030585,400000028661,400000028662"
400000027096,"400000015579,400000026129,400000014786,400000014981,400000030514"
400000028787,"400000019120,400000030395,400000020133,400000030363,400000030394,400000021216"
400000026471,"400000005168,400000011519,200000000402,400000013234,400000011518,400000013499,400000012388"
400000026229,"400000019124,400000030519,400000018133,400000019123"
400000033661,
400000028896,"400000029972,400000030498,400000030499,400000028905"
400000027122,"400000023293,400000026131,400000030354,400000015223,400000030202"
400000026382,"400000030490,400000026378"
400000026863,"400000019129,400000026952,400000029745"
400000026375,"400000026373,400000030495"
400000028912,"400000029972,400000028905"
400000029006,"400000029014,400000029015,400000029013,400000029012,400000030573"
400000026345,"400000030489,400000026346"
400000028743,"400000016596,400000025605,400000016081,400000025606,400000016957,400000025607,400000016080,400000030569,400000025604"
400000026898,"400000026897,400000030529"
400000029805,400000030592
400000030158,"400000030401,400000026649,400000030402"
400000033655,
400000033765,"400000033711,400000033710,400000033712,400000033709"
400000033538,
400000031016,
400000029528,"400000029529,400000030565,400000029532,400000029530,400000029531"
400000028982,"400000027203,400000027202,400000030159,400000029970"
400000029790,400000029793
400000026957,"400000030456,400000020350"
400000028375,"400000030513,400000005168,400000011519,400000013234,400000011518,400000013499,400000012388"
400000028848,"400000026132,400000012655,200000001110,400000030534"
400000033526,
400000032634,
400000033414,
400000033476,
400000031007,
400000028870,"400000030465,400000026134,400000022914"
400000026984,"200000000393,400000012992,400000014970"
