printer_id,parts
400000026262,"400000030648,400000033101,400000033383,400000030881,400000024153,400000024174,400000030649,400000030650,400000024601,400000030647"
400000027216,400000023565
400000028953,400000025926
400000031314,
400000029772,
400000026668,"400000027146,400000022273"
400000027267,400000023678
400000028094,"400000030642,400000023678"
400000026170,
400000029540,"400000021248,400000021250,400000021251,400000021249"
400000032367,"400000030894,400000032908,400000031824,400000033700,400000031867,400000033724,400000031932"
400000028955,"400000025926,400000030641"
400000027246,"400000024601,400000024174,400000024602"
400000028884,"400000021214,400000013502,400000002831,400000026157,400000015958"
400000024404,"400000024602,400000030658,400000024174,400000030659,400000024601,400000030660"
400000028802,"400000017602,400000030314,400000030017,400000009850"
400000028867,400000016877
400000026907,
400000027934,"400000016907,400000029033,400000011107,400000026157,400000022933,400000016908,400000015427"
400000032360,"400000032108,400000031836,400000032872,400000032121,400000032150,400000031839,400000032576,400000032874,400000031837,400000031948,400000032109,400000032581,400000031949,400000032557,400000031844,400000031840,400000031983,400000031982,400000033573,400000032104,400000031838,400000032873,400000032577,400000032875,400000032516,400000031951,400000031843,400000031981,400000031950,400000032151,400000031841,400000031971,400000031842,400000031980,400000032107,400000033704,400000032149"
400000033662,400000033573
400000033131,"400000031851,400000033246,400000033247,400000032574,400000031853,400000033245,400000031850,400000031852"
400000033529,
400000028805,"400000017602,400000030314,400000030017,400000009850"
400000030120,
400000028995,400000023565
400000028931,400000023607
400000030988,
400000031077,"400000030894,400000030895,400000031428,400000031615,400000033730,400000031817"
400000033433,400000030896
400000032424,"400000033575,400000031460,400000033196,400000033573"
400000028864,"400000030638,400000021245"
400000033434,
400000026794,
400000029777,400000021766
400000033489,
400000033808,"400000032448,400000032447,400000032450,400000033704,400000032449"
400000027268,400000023678
400000028645,"400000029033,400000026157,400000022933,400000016908,400000016907"
400000028669,"400000002802,400000022933"
400000026480,"400000016407,400000009229,400000030633,400000002831,400000015958"
400000030720,"400000030907,400000030664,400000030728,400000030894,400000031345,400000031364,400000030887,400000031615,400000033730,400000031609,400000030886,400000033724"
400000030997,"400000032108,400000031836,400000032121,400000033581,400000031839,400000032576,400000031837,400000032629,400000033580,400000032581,400000031844,400000031840,400000033575,400000033573,400000033578,400000032104,400000031838,400000032577,400000032516,400000031843,400000032622,400000032151,400000031841,400000031842,400000033579,400000032107,400000032149"
400000026735,400000030637
400000028849,400000022273
400000028821,"400000030635,400000025158,400000027144"
400000033499,
400000029737,
400000029478,400000022278
400000028885,"400000021214,400000002831,400000013502,400000015958"
400000029516,"400000024343,400000024346,400000024345,400000024344"
400000026896,400000021215
400000026557,"400000015038,400000022452"
400000032657,"400000031428,400000030894,400000033730"
400000026904,400000024172
400000033527,
400000033263,400000033194
400000026946,
400000028964,400000025926
400000026377,
400000029802,
400000027903,"400000016907,400000029033,400000026157,400000022933,400000016908,400000015427"
400000028175,400000033101
400000033531,
400000028463,"400000002831,400000015958"
400000028763,"400000026157,400000022933,400000029033"
400000028888,"400000017602,400000012999,400000009850"
